Aadhaar Number,Name,Date of Birth,Gender,City,State,Phone Number,Email
57067109792,Nirvi Bumb,1987-04-17,Female,Ahmedabad,Goa,6900205792,lsarma@savant.com
816209000000,Aarush Bumb,1924-09-30,Other,Hindupur,Uttar Pradesh,4593613968,zachariahaarna@keer.biz
610333000000,Shanaya Sen,1989-12-23,Other,Visakhapatnam,Andhra Pradesh,915952000000,heerbhasin@yahoo.com
108077000000,Himmat Bhasin,1974-06-03,Female,Raipur,Arunachal Pradesh,9133462456,ladanahi@yahoo.com
7481402547,Rhea Tara,1930-10-09,Female,Nizamabad,Maharashtra,911649000000,vdatta@desai-kaur.com
722848000000,Yakshit Gade,1980-09-24,Female,Mira-Bhayandar,Andhra Pradesh,1565731150,zkara@gmail.com
879076000000,Myra Saraf,1992-08-22,Male,Hubli–Dharwad,Chhattisgarh,912814000000,butalaaayush@gmail.com
402944000000,Neelofar Salvi,1925-12-25,Other,Dehri,Sikkim,4032008119,doctorhiran@hotmail.com
464645000000,Riya Bath,2021-09-28,Female,Munger,Punjab,9013293210,hrishita94@kunda.org
812092000000,Yuvaan Tara,2016-12-13,Other,Satara,Tripura,3624392533,lganesan@kunda.com
603030000000,Neysa Badami,1941-11-12,Male,Phagwara,Tripura,7706755714,samarjha@zachariah.biz
698396000000,Biju Sarna,1937-12-09,Male,Hajipur,Himachal Pradesh,5643275118,wallaneysa@khurana-deep.com
892676000000,Pari Ganesan,1984-07-31,Male,Surendranagar Dudhrej,Bihar,919656000000,anayraval@yahoo.com
276043000000,Zeeshan Mann,1966-04-12,Female,Patiala,Telangana,3929490165,aramakrishnan@agarwal-venkataraman.com
342119000000,Parinaaz D’Alia,2014-07-12,Female,Amravati,Sikkim,3892002081,tiyabassi@gmail.com
456471000000,Vivaan Kibe,1940-06-20,Other,Sambalpur,Haryana,913128000000,mehul21@sachdev.com
19962087737,Anaya Lala,1976-08-19,Other,Nandyal,Telangana,912974000000,chadayesha@yahoo.com
511093000000,Bhamini Shan,1941-09-24,Male,Rewa,Himachal Pradesh,9435373047,jhanvisood@sharaf-swaminathan.net
491137000000,Ishita Bath,2020-04-09,Other,Ghaziabad,Goa,5708826655,zainavarty@yahoo.com
292988000000,Zaina Krishnan,1977-06-18,Other,Bhagalpur,Mizoram,8301374606,aram@yahoo.com
159353000000,Nirvi Karan,1928-01-10,Male,Ranchi,Kerala,258236206,ivan50@hotmail.com
566335000000,Jivika Grover,2009-06-19,Other,Jalandhar,Meghalaya,916552000000,hrishita55@gmail.com
360970000000,Azad Vaidya,2001-06-09,Other,Kulti,Tamil Nadu,917949000000,lcontractor@saha-ganesh.com
711946000000,Yuvaan Dada,1975-12-17,Female,Nellore,Tamil Nadu,9323096459,hunarrajagopalan@chaudry.info
982360000000,Jayant Dua,1976-01-06,Female,Allahabad,Manipur,915929000000,dharmajansrinivasan@gmail.com
632009000000,Samarth Wason,1987-11-15,Male,Allahabad,Maharashtra,1784904379,nityahans@yahoo.com
557232000000,Samiha Gaba,2022-05-05,Other,Bellary,Sikkim,5726597064,drishya49@gmail.com
273894000000,Keya Sanghvi,1950-09-12,Male,Jamalpur,Telangana,6402890688,veer40@banik.com
845604000000,Raunak Chatterjee,2013-06-19,Other,Sonipat,West Bengal,4446306784,hdhawan@hotmail.com
230546000000,Sumer Mallick,1961-10-03,Other,Raurkela Industrial Township,Meghalaya,6187033700,krishgala@gmail.com
403212000000,Dhanush Kulkarni,1931-07-03,Female,North Dumdum,Telangana,916981000000,hkashyap@chauhan-manne.biz
941385000000,Ryan Shere,1975-08-28,Male,Naihati,Arunachal Pradesh,9400145072,riyadoctor@malhotra.biz
439877000000,Lakshit Chaudhary,1972-11-29,Female,Gorakhpur,Chhattisgarh,916454000000,uthkarsh22@magar.biz
749870000000,Bhavin Bhandari,2020-05-18,Other,Kirari Suleman Nagar,Kerala,913904000000,mangalshlok@hotmail.com
71877417805,Aaina Khatri,1933-03-25,Male,Pallavaram,Sikkim,917324000000,mangalmadhup@wali-subramanian.biz
486086000000,Zeeshan Andra,1934-01-01,Other,Guwahati,Mizoram,917188000000,tushar71@hotmail.com
248588000000,Raghav Goda,2002-11-21,Other,Kishanganj,Nagaland,2927219653,samihajha@seshadri.org
839332000000,Ira Dubey,2008-02-11,Female,Anantapur,Chhattisgarh,2124695900,shlokmanne@bhavsar.com
2322813279,Urvi Sridhar,1947-10-09,Other,Phagwara,Andhra Pradesh,1533256393,mkothari@gmail.com
878017000000,Onkar Sankaran,1950-01-15,Other,Uluberia,Rajasthan,6537469104,indranil00@rao.biz
153090000000,Tara Walla,1950-07-15,Female,Phusro,Telangana,911250000000,nchaudhuri@yahoo.com
973693000000,Riaan Kumer,1930-03-29,Male,Raebareli,Uttar Pradesh,5380589206,rkant@deshmukh-khatri.com
858702000000,Jayant Hans,1946-09-02,Female,Munger,Nagaland,9693837137,yasmin05@yahoo.com
522184000000,Jiya Warrior,2003-12-30,Male,Aizawl,Nagaland,8148909083,wagleishita@dube.org
643576000000,Hazel Sankar,1966-02-04,Female,Indore,Karnataka,7544005371,saanvibarad@kaur-agrawal.biz
859010000000,Mehul Badal,2007-02-25,Female,Saharanpur,Tripura,916999000000,usura@seshadri.com
824656000000,Baiju Sura,1952-02-18,Other,Tenali,Telangana,3060975452,gkhatri@hotmail.com
640867000000,Reyansh Batra,1965-10-04,Female,Vadodara,Tamil Nadu,912493000000,scheema@krishnamurthy.com
28180158960,Hrishita Khosla,1979-06-28,Male,Bilaspur,Sikkim,18647220,reneebhalla@gaba-ganesan.com
738667000000,Yuvaan Chatterjee,1934-03-31,Female,Noida,Nagaland,918675000000,dhawannitya@yahoo.com
840617000000,Krish Kar,1964-01-10,Male,Hosur,Mizoram,1481494383,lvaidya@gmail.com
171930000000,Vihaan Sunder,2000-09-07,Female,Berhampore,Telangana,917596000000,samar68@kamdar.info
612901000000,Romil Luthra,1932-04-16,Other,Vijayawada,Uttarakhand,4912530153,ucomar@venkatesh.com
670376000000,Divit Ramakrishnan,1962-02-01,Other,Khora ,West Bengal,9266433615,jbabu@tailor.com
809019000000,Damini Lall,1995-05-17,Male,Nagpur,Assam,919138000000,gandhiishaan@hotmail.com
575624000000,Romil Keer,1995-12-31,Male,Visakhapatnam,Meghalaya,6823331376,wsubramaniam@gmail.com
587829000000,Gatik Maharaj,2015-03-22,Female,Bhind,Tripura,7143745144,bborah@yahoo.com
874241000000,Aaryahi Kapur,2015-11-15,Female,Nagaon,Himachal Pradesh,1159941806,yakshitbaria@gmail.com
85789605080,Pari Uppal,1940-12-29,Other,Udaipur,Madhya Pradesh,919608000000,rasha39@barad.com
24532180952,Hiran Kapadia,2011-08-03,Other,Miryalaguda,Andhra Pradesh,1703476938,rati87@chadha-majumdar.com
405126000000,Eva Edwin,1938-05-23,Female,Kavali,Telangana,918153000000,karishaan@hotmail.com
76865755294,Jayan Saha,1927-05-21,Female,Kochi,Manipur,384747397,aradhya88@chandra-varkey.com
593163000000,Hiran Maharaj,1997-11-15,Other,Jalgaon,Goa,3671042368,jayant70@dutta.info
756378000000,Hazel Goel,2003-09-04,Other,Gandhidham,Mizoram,6870960943,msavant@bala.com
196168000000,Trisha Khosla,1930-09-20,Male,Faridabad,Karnataka,3087824247,eshah@gmail.com
565854000000,Sahil Brahmbhatt,1992-07-06,Female,Surat,Punjab,3136618565,anikarandhawa@korpal-choudhury.com
150959000000,Piya Dutt,1957-09-28,Other,Srinagar,Odisha,2555968,mohanlal08@wali.biz
450840000000,Jayant Krishna,1993-10-12,Female,Meerut,Manipur,6863726191,pihu33@lala-kibe.org
65385805768,Shalv Lalla,1955-11-23,Other,Guntakal,Chhattisgarh,2545292162,hanshrao@hotmail.com
946187000000,Piya Devan,2022-04-27,Female,Bhilai,Bihar,8222156251,indransbalakrishnan@gmail.com
346546000000,Aarna Sawhney,1979-01-31,Male,Aurangabad,Mizoram,1179419318,jbhargava@yahoo.com
946341000000,Kavya Buch,1979-07-20,Other,Satna,Rajasthan,7087233306,atiwari@gmail.com
115802000000,Vivaan Bora,1976-09-09,Male,Allahabad,Nagaland,4181080506,zainavora@kala.com
31024150426,Jayan Andra,1988-01-17,Female,Anantapuram,Karnataka,2371131590,basuanika@atwal.net
204646000000,Hrishita Bedi,1923-02-26,Other,Narasaraopet,Chhattisgarh,911167000000,devanshkarnik@hotmail.com
962154000000,Mishti Venkataraman,1978-04-24,Other,Bihar Sharif,Punjab,1061415106,mkhanna@gmail.com
882903000000,Rhea Sodhi,1930-11-13,Other,Mau,Nagaland,917891000000,yuvraj-ram@yahoo.com
419453000000,Aaina Deep,1941-09-21,Other,Howrah,Haryana,1459062209,dasaayush@raju.com
305709000000,Kanav Kibe,1933-05-10,Female,Dibrugarh,Maharashtra,910842000000,reyansh90@gmail.com
549904000000,Shlok Chaudhary,2010-12-01,Male,Panchkula,Assam,4523246846,jayeshdada@hotmail.com
568262000000,Ela Chandra,1967-06-09,Male,Anantapur,Nagaland,740255694,dateoorja@yahoo.com
276248000000,Faiyaz Sunder,1952-03-29,Female,Bidhannagar,Sikkim,1562178039,ishaan28@kota.com
394577000000,Piya Bail,1963-06-14,Male,Dharmavaram,Karnataka,3464121638,arhaanmajumdar@hotmail.com
500736000000,Jiya Chokshi,1942-05-28,Female,Phagwara,Nagaland,6101106773,lakshitramanathan@barad-bhakta.com
946515000000,Elakshi Sami,1976-12-05,Other,Raiganj,Chhattisgarh,3340609800,suhana19@chokshi-choudhury.info
477428000000,Khushi Bhardwaj,1953-01-19,Female,Begusarai,Maharashtra,7856747208,sheremannat@yahoo.com
816972000000,Siya Garg,1945-10-22,Male,Amritsar,Arunachal Pradesh,4483286787,dhruv82@bali.com
977255000000,Anika Wadhwa,1961-11-22,Female,Medininagar,Bihar,2923614067,lakshitbala@yahoo.com
671381000000,Nirvaan Buch,1990-04-30,Male,Indore,Assam,7352479996,chadkabir@dass.org
741071000000,Hiran Kuruvilla,1971-10-21,Female,Guna,Meghalaya,7684899798,charvikalita@sarin-kade.com
201492000000,Aayush Loke,1954-02-18,Female,Gurgaon,Himachal Pradesh,913522000000,pborah@yahoo.com
308203000000,Yuvaan Dewan,1990-07-23,Other,Srikakulam,West Bengal,916046000000,yuvaan22@gmail.com
554105000000,Nirvi Bora,1957-10-22,Female,Jodhpur,Haryana,8844156511,majumdarpihu@yahoo.com
654851000000,Azad Mani,1964-09-30,Other,Meerut,Andhra Pradesh,5783177251,ishankar@date.net
225991000000,Jiya Sood,2020-05-21,Other,Begusarai,Kerala,918656000000,sainijayant@yahoo.com
657182000000,Urvi Bassi,1943-03-04,Male,Bhagalpur,Bihar,5724433191,vrau@gmail.com
555576000000,Nayantara Anand,1946-04-12,Female,Farrukhabad,Manipur,6578195083,akoshy@goel.info
561821000000,Jiya Atwal,1940-05-12,Female,Jabalpur,West Bengal,912474000000,indrans03@karan.info
106360000000,Priyansh Luthra,1935-04-25,Female,Hazaribagh,Himachal Pradesh,3059387722,loyalhazel@gade-sridhar.com
538231000000,Oorja Kala,2019-03-29,Other,Eluru,Bihar,2983426378,hchadha@yahoo.com
295474000000,Dhruv Doshi,1946-12-06,Male,Visakhapatnam,Gujarat,1613029116,vermajhanvi@hotmail.com
36026480559,Anahi Jayaraman,1927-06-09,Other,Morbi,Bihar,1567942394,abramkant@hotmail.com
507884000000,Sara Bawa,2013-12-30,Other,Mahbubnagar,Kerala,962549077,mamooty56@gmail.com
902913000000,Bhavin Kota,1968-10-13,Male,Salem,Jharkhand,1138924051,gokul89@hotmail.com
800760000000,Zara Chaudhari,1998-12-16,Male,Firozabad,Jharkhand,918133000000,sacharsiya@setty-sarma.com
892825000000,Tanya Kohli,1982-09-06,Other,Thiruvananthapuram,Uttar Pradesh,2419347567,shayak03@gmail.com
7501296841,Zara Venkatesh,1940-11-16,Other,Rohtak,Tamil Nadu,912698000000,dassjiya@luthra.com
264620000000,Ishaan Shetty,1949-10-14,Female,Tirupati,Karnataka,1467154897,kartik72@hotmail.com
563789000000,Nitya Bajaj,1947-12-17,Other,Ghaziabad,Jharkhand,5356049161,adirasane@chadha-dhaliwal.com
136425000000,Ahana  Bahl,2016-08-31,Female,Thane,Punjab,911943000000,karpepurab@dass.org
150133000000,Tushar Das,2000-12-14,Other,Rewa,Uttarakhand,9752888412,seshadridarshit@walla.info
297208000000,Riaan Dash,1922-12-05,Other,Sri Ganganagar,Rajasthan,2071701869,zara46@yahoo.com
571967000000,Manikya Shroff,1979-06-04,Female,Jalna,Goa,6459602336,ranaindrans@gmail.com
883369000000,Kaira Halder,1941-12-04,Female,Ujjain,Nagaland,7739836114,htara@dhar.com
310720000000,Suhana Madan,1942-11-04,Female,Bahraich,Uttarakhand,4336911927,vritika35@hotmail.com
430490000000,Kimaya Buch,1994-12-02,Female,Bongaigaon,Karnataka,2481535565,ahluwaliamamooty@sant.com
901039000000,Jivika Mander,1927-05-24,Other,Hubli–Dharwad,Uttar Pradesh,3758546408,vsathe@borra.com
899920000000,Nirvaan Boase,1983-03-30,Other,Orai,Karnataka,5946023375,dhruvkashyap@hayre-devan.com
605858000000,Ojas Barad,2003-04-24,Male,Ghaziabad,Manipur,915223000000,manikyagokhale@yahoo.com
769735000000,Mahika Jha,1941-05-10,Other,Orai,Tamil Nadu,917099000000,umang99@gmail.com
764998000000,Inaaya  Varty,1936-12-01,Male,Pimpri-Chinchwad,Gujarat,3369948251,anyagarde@yahoo.com
873681000000,Keya Grover,1982-11-15,Other,Kottayam,Telangana,3112606612,bhaminitalwar@baria.org
123922000000,Saanvi Issac,2019-02-23,Male,Indore,Meghalaya,647830637,ckulkarni@hotmail.com
460267000000,Ehsaan Ray,1966-05-16,Male,Srikakulam,Uttarakhand,2314638999,sumer62@contractor.com
380698000000,Aarush Mane,1937-09-04,Female,Mangalore,Punjab,6364437697,malhotratiya@gmail.com
721773000000,Manikya Tiwari,1966-03-09,Male,Lucknow,Manipur,1347592917,daliavanya@chahal-amble.info
414547000000,Heer Sur,2007-11-21,Other,Vijayawada,Kerala,919050000000,sabharwaleshani@ben-sabharwal.com
107759000000,Baiju Chander,1990-08-17,Female,Tinsukia,Punjab,1130193856,zainkar@bhattacharyya.com
5134517495,Madhup Garde,2023-03-12,Female,Karawal Nagar,Maharashtra,4437836770,samarth93@gmail.com
818318000000,Heer Kothari,2008-02-16,Male,Siliguri,Gujarat,918588000000,farhan35@hotmail.com
269696000000,Ivana Hans,1924-09-25,Female,Khammam,Maharashtra,4756095536,khushi49@comar.org
894313000000,Sahil Raman,1926-03-18,Other,Katihar,Telangana,911449000000,rania96@ahuja.info
948684000000,Romil Kara,1976-11-23,Female,Muzaffarpur,Maharashtra,3161053211,kalitaelakshi@hotmail.com
507207000000,Kaira Raj,2004-05-31,Male,Durg,Arunachal Pradesh,7602649765,cgulati@suri-barad.com
914217000000,Trisha Sha,1952-06-14,Male,New Delhi,Gujarat,6988537167,balayriya@dugar-magar.info
692243000000,Krish Raman,2000-03-23,Female,Tumkur,Maharashtra,4166844338,cbalasubramanian@yahoo.com
216753000000,Hazel Jhaveri,1983-03-22,Other,Burhanpur,Tamil Nadu,6715021115,vkalla@yahoo.com
710936000000,Ojas Basak,2022-08-26,Male,Jehanabad,Manipur,915007000000,xreddy@yahoo.com
194311000000,Himmat Chahal,1943-02-14,Female,Tinsukia,Assam,603050810,balasubramaniananahi@baral-tank.com
881262000000,Drishya Apte,1928-07-10,Other,Bikaner,Mizoram,910099000000,bahrikimaya@yahoo.com
118740000000,Jivin Rao,1945-12-20,Other,Eluru,Bihar,7544041883,sawhneysaanvi@hotmail.com
461640000000,Charvi Shankar,2022-03-03,Female,Tirunelveli,Uttarakhand,910185000000,devanshvala@gupta-dasgupta.com
305773000000,Arnav Batta,1923-07-12,Female,Morbi,Tamil Nadu,8813400919,divijtailor@hotmail.com
588032000000,Charvi Saraf,2001-04-07,Female,Hospet,Himachal Pradesh,1335336124,deepsaira@hotmail.com
17755514653,Yasmin Dass,2003-04-08,Other,Raipur,Chhattisgarh,55476349,ychawla@dhingra.com
795295000000,Trisha Chandra,2003-06-06,Female,Bhavnagar,West Bengal,918214000000,auroratara@kulkarni.com
124676000000,Indranil Goel,1943-12-10,Male,Jalandhar,Andhra Pradesh,6796231707,raunak04@hotmail.com
440042000000,Hunar Sandal,1963-09-23,Female,Kochi,Uttar Pradesh,8152098608,vkade@balan-gola.net
226191000000,Samiha Deo,2012-05-20,Female,Bijapur,Kerala,7766982625,yasmin57@gmail.com
437457000000,Alisha Deo,1949-01-27,Other,Bidar,West Bengal,5359305434,chandrajhanvi@yahoo.com
115841000000,Taran Rajagopal,1944-05-13,Female,Jamalpur,Himachal Pradesh,9017653224,bhatmishti@yahoo.com
826553000000,Renee Solanki,2021-05-02,Female,Ahmednagar,Kerala,6073927364,zeeshan53@yahoo.com
173992000000,Navya Ahluwalia,2002-01-20,Other,Bellary,Chhattisgarh,910656000000,ochandra@shah.com
976539000000,Gatik Wadhwa,1990-03-07,Other,Tadepalligudem,Madhya Pradesh,916404000000,iganguly@kota-raval.com
240531000000,Badal Bassi,1945-12-17,Male,Ulhasnagar,Mizoram,4646587546,sinhaprerak@yahoo.com
816045000000,Advika Dewan,2022-05-24,Male,Dibrugarh,Tamil Nadu,916623000000,yakshitramanathan@gmail.com
917885000000,Zoya Sibal,2023-06-12,Male,Proddatur,Kerala,914949000000,bhavindayal@vasa.com
654180000000,Ivana Rajan,1973-10-12,Female,Dhanbad,Assam,4646662564,kuruvillajayesh@gmail.com
319331000000,Bhavin Raman,2000-01-07,Other,Panvel,Mizoram,6716419598,hgaba@hotmail.com
989003000000,Zoya Guha,1977-04-02,Male,Kollam,Mizoram,4948102329,zjani@saini.org
247669000000,Advik Shankar,1942-08-31,Male,Shimoga,Goa,911456000000,gdani@gmail.com
28060056754,Mamooty Rama,1959-11-03,Other,Chennai,Maharashtra,3665205236,deviojas@gmail.com
712913000000,Azad Chada,1952-02-29,Male,Kulti,Andhra Pradesh,919325000000,akhosla@kakar.com
